,"Tech
Company","Big
Tech",Military,Nonprofit,"Research
Institute",Agencies,University,"Elite
University","Non-N.A.
University"
'08-'09,42.5531914893617,10.0,21.27659574468085,4.25531914893617,14.893617021276595,46.808510638297875,89.36170212765957,68.08510638297872,29.78723404255319
'18-'19,79.24528301886792,58.0,24.528301886792452,18.867924528301888,35.84905660377358,43.39622641509434,81.13207547169812,71.69811320754717,30.18867924528302
