,"Big Tech
Affiliation","Other Corporate
Affiliation","No Corporate
Affiliation"
'08-'09,0.10638297872340426,0.1276595744680851,0.7659574468085106
'18-'19,0.5849056603773585,0.1320754716981132,0.2830188679245283
